CS-Density,naive-time,greedy-time
5, 4.120854949, 3.946313266
8, 4.29801243, 3.965812341
11, 4.371122684, 3.955949281
14, 4.355655535, 3.987910116
17, 4.503995264, 3.893322482
20, 4.815694948, 3.893322482
23, 4.824155713, 3.894200978
26, 5.087997488, 3.893322482
29, 5.034215475, 3.955290409
32, 4.925042135, 3.928081672
35, 5.003561425, 4.005260072
38, 5.375098048, 3.955949281
41, 5.560942256, 3.978874705
44, 5.806514068, 3.906690397
47, 5.867867594, 4.109944579
50, 5.658449517, 4.109944579
53, 5.750694115,  
